"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALEMBICLTD","EQ","04-May-2020","         50.40","         49.80","         51.85","         48.45","         48.85","         49.30","         50.13","     338737","            16981978.35","       2624","     143119","         42.25"
"ALEMBICLTD","EQ","05-May-2020","         49.30","         49.60","         50.95","         48.30","         48.80","         48.80","         50.03","     212609","            10637677.70","       3147","      85141","         40.05"
"ALEMBICLTD","EQ","06-May-2020","         48.80","         49.80","         50.70","         47.20","         48.75","         48.60","         49.31","     263022","            12969444.80","       2742","      73913","         28.10"
"ALEMBICLTD","EQ","07-May-2020","         48.60","         49.00","         50.80","         48.60","         49.55","         49.50","         49.69","     184410","             9163661.15","       1594","      70388","         38.17"
"ALEMBICLTD","EQ","08-May-2020","         49.50","         49.75","         50.45","         48.50","         48.60","         48.75","         49.37","      90972","             4491177.45","        943","      46427","         51.03"
"ALEMBICLTD","EQ","11-May-2020","         48.75","         49.45","         49.45","         47.45","         48.00","         47.90","         48.38","      91877","             4444952.85","       1070","      62477","         68.00"
"ALEMBICLTD","EQ","12-May-2020","         47.90","         47.15","         48.45","         46.00","         48.30","         48.05","         47.33","     120322","             5694683.90","       1486","      53066","         44.10"
"ALEMBICLTD","EQ","13-May-2020","         48.05","         48.60","         49.10","         47.55","         47.55","         48.00","         48.27","      95506","             4610414.45","        826","      54219","         56.77"
"ALEMBICLTD","EQ","14-May-2020","         48.00","         48.50","         49.65","         47.05","         49.40","         49.20","         48.67","     240087","            11684597.80","       1633","     106264","         44.26"
"ALEMBICLTD","EQ","15-May-2020","         49.20","         49.85","         54.90","         49.55","         53.95","         53.80","         53.40","    2413843","           128909495.40","      13962","     619531","         25.67"
"ALEMBICLTD","EQ","18-May-2020","         53.80","         54.90","         57.90","         53.35","         53.80","         53.85","         55.65","    1600356","            89053754.95","      13035","     479665","         29.97"
"ALEMBICLTD","EQ","19-May-2020","         53.85","         55.10","         55.80","         51.65","         52.30","         52.05","         53.08","     434413","            23060123.15","       6771","     213618","         49.17"
"ALEMBICLTD","EQ","20-May-2020","         52.05","         52.05","         53.50","         51.50","         51.60","         51.80","         52.35","     446848","            23393725.90","       6092","     251717","         56.33"
"ALEMBICLTD","EQ","21-May-2020","         51.80","         52.00","         53.45","         51.00","         51.80","         51.85","         52.46","     588198","            30853943.70","       5584","     346754","         58.95"
"ALEMBICLTD","EQ","22-May-2020","         51.85","         51.85","         53.25","         51.50","         51.50","         51.85","         52.34","     425885","            22292708.05","       7689","     222897","         52.34"
"ALEMBICLTD","EQ","26-May-2020","         51.85","         53.80","         53.90","         51.50","         51.75","         51.95","         52.34","     687434","            35980480.40","       7294","     352497","         51.28"
"ALEMBICLTD","EQ","27-May-2020","         51.95","         52.60","         53.00","         47.85","         51.25","         51.15","         50.87","     396247","            20157704.40","       4983","     206352","         52.08"
"ALEMBICLTD","EQ","28-May-2020","         51.15","         51.50","         52.00","         49.95","         50.60","         50.65","         50.95","     284604","            14499448.75","       3554","     193448","         67.97"
"ALEMBICLTD","EQ","29-May-2020","         50.65","         51.95","         52.00","         50.60","         51.45","         51.20","         51.54","     374407","            19296206.00","       4192","     162271","         43.34"
"ALEMBICLTD","EQ","01-Jun-2020","         51.20","         51.50","         54.40","         51.50","         54.00","         53.75","         53.56","    1204559","            64510552.30","      13082","     744208","         61.78"
"ALEMBICLTD","EQ","02-Jun-2020","         53.75","         54.20","         55.40","         53.20","         55.20","         54.70","         54.34","     937686","            50955763.75","      10007","     562665","         60.01"
"ALEMBICLTD","EQ","03-Jun-2020","         54.70","         55.70","         55.70","         53.15","         54.00","         53.85","         54.82","     326012","            17871995.50","       4983","     175508","         53.83"
"ALEMBICLTD","EQ","04-Jun-2020","         53.85","         54.00","         55.30","         53.50","         54.25","         54.05","         54.21","     286233","            15517767.65","       4254","     111049","         38.80"
"ALEMBICLTD","EQ","05-Jun-2020","         54.05","         54.45","         55.25","         53.50","         54.00","         53.95","         54.03","    2427324","           131143285.35","       4150","    2168044","         89.32"
"ALEMBICLTD","EQ","08-Jun-2020","         53.95","         56.40","         59.65","         55.20","         56.75","         56.40","         56.99","    1373165","            78258140.80","      11844","     587524","         42.79"
"ALEMBICLTD","EQ","09-Jun-2020","         56.40","         57.25","         60.70","         56.80","         58.55","         58.65","         59.05","    1470469","            86833717.40","       8769","     445563","         30.30"
"ALEMBICLTD","EQ","10-Jun-2020","         58.65","         59.40","         60.50","         57.90","         59.40","         59.05","         58.89","     669630","            39432414.50","       6229","     195647","         29.22"
"ALEMBICLTD","EQ","11-Jun-2020","         59.05","         59.05","         59.40","         55.60","         56.55","         56.30","         57.78","     361870","            20908125.30","       5255","     182428","         50.41"
"ALEMBICLTD","EQ","12-Jun-2020","         56.30","         54.50","         66.85","         54.50","         63.50","         64.55","         61.97","    2689700","           166691120.00","      15669","     986268","         36.67"
"ALEMBICLTD","EQ","15-Jun-2020","         64.55","         64.55","         77.45","         64.20","         77.45","         77.25","         72.72","    8951979","           650996469.45","      41830","    2201749","         24.60"
"ALEMBICLTD","EQ","16-Jun-2020","         77.25","         79.80","         89.40","         78.00","         79.30","         80.65","         83.60","   13482367","          1127091705.80","      80580","    2890259","         21.44"
"ALEMBICLTD","EQ","17-Jun-2020","         80.65","         79.90","         84.65","         77.00","         79.95","         79.90","         81.01","    2427569","           196650521.10","      19897","     872101","         35.92"
"ALEMBICLTD","EQ","18-Jun-2020","         79.90","         80.00","         81.80","         76.10","         77.55","         77.55","         78.38","    1452420","           113846535.85","      12645","     644771","         44.39"
"ALEMBICLTD","EQ","19-Jun-2020","         77.55","         78.40","         84.40","         75.40","         80.80","         80.85","         81.06","    3465693","           280919507.80","      23448","    1089660","         31.44"
"ALEMBICLTD","EQ","22-Jun-2020","         80.85","         81.65","         84.00","         79.10","         79.80","         79.80","         81.28","    1453753","           118163497.35","      11623","     735330","         50.58"
"ALEMBICLTD","EQ","23-Jun-2020","         79.80","         80.00","         81.35","         77.90","         78.30","         78.35","         79.12","     670189","            53023438.75","       7829","     206882","         67.34"
"ALEMBICLTD","EQ","24-Jun-2020","         78.35","         78.50","         78.85","         74.20","         75.00","         74.60","         76.03","     719724","            54721424.10","       7963","     447474","         62.17"
"ALEMBICLTD","EQ","25-Jun-2020","         74.60","         74.00","         81.60","         73.00","         79.50","         79.60","         78.74","    1416842","           111561980.15","      11475","     560519","         39.56"
"ALEMBICLTD","EQ","26-Jun-2020","         79.60","         79.70","         80.45","         76.20","         77.00","         76.90","         78.10","     440596","            34411079.55","       5897","     246702","         55.99"
"ALEMBICLTD","EQ","29-Jun-2020","         76.90","         77.50","         79.95","         75.00","         77.45","         77.45","         78.00","     897677","            70019304.20","       9476","     341048","         37.99"
"ALEMBICLTD","EQ","30-Jun-2020","         77.45","         78.05","         83.50","         75.00","         81.00","         81.00","         81.18","    2585828","           209907398.50","      17651","    1008244","         38.99"
"ALEMBICLTD","EQ","01-Jul-2020","         81.00","         81.50","         81.85","         78.20","         79.00","         79.10","         80.27","     752640","            60411014.50","       7744","     338257","         44.94"
"ALEMBICLTD","EQ","02-Jul-2020","         79.10","         79.65","         80.55","         78.85","         79.30","         79.15","         79.66","     510680","            40682901.30","       4716","     336154","         65.82"
"ALEMBICLTD","EQ","03-Jul-2020","         79.15","         79.80","         84.75","         78.50","         83.05","         83.40","         82.77","    1803599","           149284025.00","      13191","     943322","         52.30"
"ALEMBICLTD","EQ","06-Jul-2020","         83.40","         84.10","         86.00","         81.70","         82.00","         82.25","         84.16","    1223582","           102977615.50","       8720","     604652","         49.42"
"ALEMBICLTD","EQ","07-Jul-2020","         82.25","         82.50","         83.25","         80.00","         80.45","         80.30","         81.21","     517002","            41983976.00","       3716","     319885","         61.87"
