"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BEML","EQ","04-May-2020","        586.30","        571.00","        575.25","        556.00","        562.50","        561.10","        564.83","     342838","           193644406.60","      15025","     127046","         37.06"
"BEML","EQ","05-May-2020","        561.10","        570.00","        582.00","        552.65","        562.15","        559.55","        565.21","     356047","           201240436.95","      15389","      70814","         19.89"
"BEML","EQ","06-May-2020","        559.55","        560.50","        563.55","        543.35","        550.65","        549.95","        550.05","     207034","           113879576.90","      10604","      43637","         21.08"
"BEML","EQ","07-May-2020","        549.95","        549.40","        592.00","        544.00","        584.00","        581.00","        574.38","    1301623","           747629013.30","      35123","     162394","         12.48"
"BEML","EQ","08-May-2020","        581.00","        590.00","        592.70","        560.05","        564.65","        564.65","        572.89","     378933","           217087970.25","      14192","      88371","         23.32"
"BEML","EQ","11-May-2020","        564.65","        574.90","        574.90","        553.50","        558.95","        559.30","        561.76","     244717","           137472197.60","       8732","      57165","         23.36"
"BEML","EQ","12-May-2020","        559.30","        555.00","        571.70","        540.05","        570.00","        562.65","        554.37","     649560","           360098062.60","      20925","      92383","         14.22"
"BEML","EQ","13-May-2020","        562.65","        620.00","        638.00","        593.20","        599.90","        600.75","        612.06","    2329930","          1426051651.30","      65193","     446390","         19.16"
"BEML","EQ","14-May-2020","        600.75","        588.00","        592.70","        578.10","        584.05","        582.70","        585.73","     349394","           204652108.15","      12400","      76564","         21.91"
"BEML","EQ","15-May-2020","        582.70","        574.00","        603.50","        567.85","        603.25","        598.70","        591.05","     984270","           581750130.75","      26388","     175569","         17.84"
"BEML","EQ","18-May-2020","        598.70","        630.00","        630.00","        580.55","        588.85","        590.45","        606.99","    1992646","          1209517313.85","      68428","     376137","         18.88"
"BEML","EQ","19-May-2020","        590.45","        594.00","        598.00","        575.80","        581.80","        580.60","        585.58","     496189","           290559151.00","      15515","      91802","         18.50"
"BEML","EQ","20-May-2020","        580.60","        575.30","        591.40","        572.30","        583.40","        582.60","        581.10","     533674","           310115724.35","      16270","      63374","         11.88"
"BEML","EQ","21-May-2020","        582.60","        590.50","        598.50","        577.65","        585.30","        585.20","        589.10","     495839","           292100810.95","      15310","      88863","         17.92"
"BEML","EQ","22-May-2020","        585.20","        575.00","        584.00","        570.00","        578.50","        578.95","        576.86","     326443","           188310453.75","      11755","      54019","         16.55"
"BEML","EQ","26-May-2020","        578.95","        584.00","        584.80","        566.15","        570.55","        571.55","        572.60","     346485","           198398870.45","      14132","      72845","         21.02"
"BEML","EQ","27-May-2020","        571.55","        575.00","        585.90","        568.00","        580.10","        582.05","        575.78","     409243","           235635660.70","      13219","      89719","         21.92"
"BEML","EQ","28-May-2020","        582.05","        615.00","        618.00","        600.00","        602.00","        602.80","        608.94","    1757528","          1070222863.30","      42344","     287618","         16.36"
"BEML","EQ","29-May-2020","        602.80","        595.10","        601.00","        576.00","        580.65","        581.05","        587.31","     617909","           362905482.80","      19917","     257645","         41.70"
"BEML","EQ","01-Jun-2020","        581.05","        588.00","        609.85","        586.10","        598.65","        595.85","        600.92","    1181619","           710057260.15","      27191","     278382","         23.56"
"BEML","EQ","02-Jun-2020","        595.85","        600.00","        604.00","        593.10","        599.10","        599.15","        599.02","     417832","           250288224.70","      13486","     106247","         25.43"
"BEML","EQ","03-Jun-2020","        599.15","        607.00","        612.00","        595.15","        599.00","        599.30","        604.69","     718101","           434229593.40","      19260","     163061","         22.71"
"BEML","EQ","04-Jun-2020","        599.30","        598.95","        600.00","        577.00","        597.90","        595.55","        588.60","     849359","           499936698.95","      21206","      96247","         11.33"
"BEML","EQ","05-Jun-2020","        595.55","        597.95","        628.75","        595.60","        621.00","        621.75","        617.81","    2101164","          1298130210.10","      46692","     433042","         20.61"
"BEML","EQ","08-Jun-2020","        621.75","        630.00","        650.00","        623.10","        628.00","        629.80","        636.58","    1855906","          1181430897.70","      45297","     425941","         22.95"
"BEML","EQ","09-Jun-2020","        629.80","        635.00","        638.00","        611.10","        612.90","        616.90","        625.82","     674643","           422201936.45","      21728","     189974","         28.16"
"BEML","EQ","10-Jun-2020","        616.90","        618.00","        619.05","        607.50","        614.05","        614.40","        613.18","     379974","           232993591.75","      11198","      79543","         20.93"
"BEML","EQ","11-Jun-2020","        614.40","        614.00","        614.00","        595.40","        601.30","        602.10","        605.17","     403136","           243966704.20","      12983","     102777","         25.49"
"BEML","EQ","12-Jun-2020","        602.10","        553.40","        602.20","        553.40","        595.80","        595.90","        587.23","     543180","           318971111.90","      17052","      85893","         15.81"
"BEML","EQ","15-Jun-2020","        595.90","        599.30","        604.75","        585.10","        595.00","        595.40","        593.97","     333367","           198008424.80","      10771","      60053","         18.01"
"BEML","EQ","16-Jun-2020","        595.40","        605.00","        607.80","        580.00","        600.00","        596.05","        593.77","     411622","           244406930.00","      12733","      93628","         22.75"
"BEML","EQ","17-Jun-2020","        596.05","        600.80","        607.00","        590.40","        594.25","        596.10","        598.54","     509377","           304881330.70","      15087","      86360","         16.95"
"BEML","EQ","18-Jun-2020","        596.10","        600.50","        637.00","        600.50","        622.50","        626.90","        624.57","    2514543","          1570502891.10","      65382","     364004","         14.48"
